carrier,plan_name,service_id,tier_id,benefit_type,discount_value,is_exclusive,exclusive_group,valid_from,valid_to,source_url,collected_at
SKT,베스트 Max(넷플릭스),1,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Max(디즈니+),2,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Max(유튜브 프리미엄),6,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Max(티빙&웨이브),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Max(티빙&웨이브),4,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Pro(넷플릭스),1,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Pro(디즈니+),2,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Pro(유튜브 프리미엄),6,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Pro(티빙&웨이브),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 Pro(티빙&웨이브),4,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 109(넷플릭스),1,2,FIXED_DISCOUNT,12500,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 109(디즈니+),2,5,FIXED_DISCOUNT,12900,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 109(유튜브 프리미엄),6,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 109(티빙&웨이브),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 109(티빙&웨이브),4,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 99(넷플릭스),1,1,FIXED_DISCOUNT,6000,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 99(디즈니+),2,4,FIXED_DISCOUNT,8900,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 99(티빙&웨이브),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 99(티빙&웨이브),4,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 89(넷플릭스),1,1,FIXED_DISCOUNT,3500,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 89(디즈니+),2,4,FIXED_DISCOUNT,4950,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 89(티빙&웨이브),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,베스트 89(티빙&웨이브),4,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 76(넷플릭스),1,2,FREE,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 76(디즈니+),2,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 76(유튜브 프리미엄),6,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 76(티빙),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 69(넷플릭스),1,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 69(디즈니+),2,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 69(티빙),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(넷플릭스),1,1,FREE,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(디즈니+),2,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(티빙),3,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 62(넷플릭스),1,,BUNDLE_INCLUDED,,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 62(넷플릭스),1,1,FIXED_DISCOUNT,5500,false,,,,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
KT,초이스130 넷플릭스,1,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 디즈니플러스,2,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 유튜브 프리미엄,6,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 티빙/지니/밀리,3,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 디즈니플러스+폰케어,2,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+Google AI Plus,6,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+넷플릭스,6,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+넷플릭스,1,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+디바이스,6,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 넷플릭스,1,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 디즈니플러스,2,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 유튜브 프리미엄,6,,BUNDLE_INCLUDED,,false,,,,https://product.kt.com/wDic/index.do,2026-09-08
