id,name,category,official_url
1,넷플릭스,OTT,https://www.netflix.com/signup/planform
2,디즈니+,OTT,https://www.disneyplus.com/ko-kr
3,티빙,OTT,https://bill.tving.com/bill/productList.tving
4,웨이브,OTT,https://www.wavve.com/voucher
5,왓챠,OTT,https://watcha.com/payment/choose_grade
6,유튜브 프리미엄,VIDEO_MUSIC,https://www.youtube.com/premium
7,쿠팡플레이,OTT,https://news.coupang.com/archives/38866/
8,애플TV+,OTT,https://tv.apple.com/kr
9,멜론,MUSIC,https://www.melon.com/buy/pamphlet/all.htm
10,지니뮤직,MUSIC,https://pay.genie.co.kr/buy/recommend
11,FLO,MUSIC,https://web.music-flo.com/purchase
12,벅스,MUSIC,https://music.bugs.co.kr/pay/public
13,Spotify,MUSIC,https://www.spotify.com/kr-ko/premium/
14,Apple Music,MUSIC,https://www.apple.com/kr/apple-music/
15,YouTube Music,MUSIC,https://blog.youtube/intl/ko-kr/news-and-events/yt-premium-lite-kr/
16,Gemini,AI,https://one.google.com/intl/ko_kr/about/google-ai-plans/
17,리디셀렉트,EBOOK,https://ridihelp.ridibooks.com/support/solutions/articles/154000208053
18,윌라,EBOOK,https://www.welaaa.com/
19,크레마클럽,EBOOK,https://cremaclub.yes24.com/BookClub/Guide
20,교보 sam,EBOOK,https://sam.kyobobook.co.kr/dig/sam/pssbuy
21,iCloud+,CLOUD,https://support.apple.com/ko-kr/108047
22,Microsoft 365,CLOUD,https://www.microsoft.com/ko-kr/microsoft-365/basic
23,ChatGPT,AI,https://openai.com/index/introducing-chatgpt-go/
24,Claude,AI,https://claude.com/pricing
25,Perplexity,AI,https://www.perplexity.ai/help-center/en/articles/12167980-using-the-connector-for-slack
26,Grok,AI,https://x.ai/pricing
27,Midjourney,AI,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans
28,GitHub Copilot,AI,https://github.com/features/copilot
29,Cursor,AI,https://cursor.com/pricing
30,Dropbox,CLOUD,https://www.dropbox.com/en_GB/buy
